id,gvkey,conm,year,cdp_target_reference,cdp_targetscope,cdp_targetscope_percent,cdp_targetamount,cdp_baseyear,cdp_baseyearemission,cdp_targetyear,cdp_sbt,cdp_targetdetail,cdp_timeprogress,cdp_targetprogress,cdp_startyear,cdp_targetstatus,cdp_targetduration,cdp_targettype,cdp_targetintensityunit,dupcase
586,011554,ALLIANT ENERGY CORP,2022,Abs 1,Scope 1,100,50,2005,21597490,2030,"No, but we are reporting another target that is science-based","Alliant Energy strives to accelerate emissions reductions as part of its science-based Clean Energy Vision goals (below). In 2021, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 28% from 2005 levels.  Alliant Energy has published a Climate Report that is organized using the Task Force on Climate-related Financial Disclosures (TCFD) framework. This report shares outcomes from a climate study completed by the Electric Power Research Institute (EPRI) that included transition scenario analysis and a review of physical climate risk. The EPRI climate study results support the conclusion that Alliant Energy's strategies and Clean Energy Vision CO2 emission reduction goals are consistent with the Paris Agreement's objective to limit global average temperature rise to well below 2 °C above pre-industrial levels and to pursue efforts to limit global average temperature increase even further to 1.5°C . Figure A-1 from our Climate Report maps Alliant Energy's Clean Energy Vision CO2 emission reduction goals that were developed from our Clean Energy Blueprint plans across the range of potential scenarios for limiting global temperature warming developed by the Intergovernmental Panel on Climate Change (IPCC) and International Energy Agency (IEA). The trajectory of Alliant Energy's strategy falls within the international pathways outlined for limiting global temperature to 1.5°C and 2°C . The results from the scenario analysis will be used to inform our ongoing review of our Clean Energy Blueprint plans and progress in achieving our Clean Energy Vision CO2 emissions reduction goals. The full report is available at: http://alliantenergy.com/climatereportOur Clean Energy Vision Goals:Successful execution of our strategy will enable us to achieve our clean energy initiatives.By 2030:• Reduce our fossil fuel generation carbon dioxide (CO2) emissions by 50% from 2005 levels• Reduce our electric utility water supply by 75% from 2005 levels• Electrify 100% of our company-owned light-duty fleet vehiclesBy 2040:• Eliminate all coal from our generation fleetBy 2050:• Aspire to achieve net-zero CO2 emissions from the electricity we generateWe will continue to review and update our Sustainable Energy Plan and Clean Energy Vision, based on future economic developments, evolving energy technologies and emerging trends in the communities we serve.",10,56,2020,Underway,10,absolute,,0
586,011554,ALLIANT ENERGY CORP,2019,Abs 2,Scope 1,97,80,2005,21597163,2050,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Alliant Energy's plans for a clean energy future are expected to exceed the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord. U.S. Paris Accord Goal: Reduce greenhouse gases 26-28% below 2005 levels by 2025Alliant Energy is participating in an Electric Power Research Institute technical study assessing the state of the science for evaluating a company-specific climate policy scenario analysis or greenhouse gas goal. Key insights from the published study found that there is significant uncertainty between a global temperature goal and an individual company's emission pathway. More robust methodologies are needed to support company-specific evaluations that consider uncertainties, including attainability of very low global emissions pathways, specific policy design features, non-climate-policy drivers and company-specific circumstances. The Phase I study ""Grounding Decisions: A Scientific Foundation for Companies Considering Global Climate Scenarios and Greenhouse Gas Goals"" is available to the public free of charge at the following link: https://www.epri.com/#/pages/product/000000003002014510/?lang=en-US",0,19,2018,Underway,32,absolute,,0
586,011554,ALLIANT ENERGY CORP,2012,,,,,,,,,,,,,,,absolute,,0
586,011554,ALLIANT ENERGY CORP,2021,Abs 3,Scope 1,100,100,2005,21597490,2050,"Yes, we consider this a science-based target, but it has not been approved by the Science-Based Targets initiative","Alliant Energy strives to accelerate emissions reductions as part of its Clean Energy Vision.  In 2020, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 42% from 2005 levels.  We also recently achieved one of our goals – to have 30% of our energy mix come from carbon-free renewable resources – 10 years ahead of schedule. In 2020, our Clean Energy Vision goals were updated given the significant progress achieved adding new company-owned wind generation (1,150 MW) and plans to implement solar generation (1,500 MW). The updated goals are:- Achieving a 50% reduction in CO2 emissions by 2030 (up from our prior goal of 40%)- Eliminating all coal from our generation fleet by 2040 (10 years faster than our previous target) - Adding an aspirational goal that achieves net-zero CO2 emissions from the electricity we generate by 2050- Adding a new goal that 100% of our active company-owned light-duty fleet vehicles will be electric by 2030Furthermore, Alliant Energy added another new goal in 2021, an initiative to donate and help plant more than one million trees – one tree for each of our customers – over the next decade.Alliant Energy's plans for a clean energy future are expected to be consistent with the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord.  Our company is participating in an Electric Power Research Institute (EPRI) technical study assessing the relationship between company-specific carbon transition scenarios and scientific research on the projected emission reductions derived from global climate warming models. Key insights from the published study found that there is significant uncertainty between modeled predictions for achieving a global temperature goal and an individual company's emission pathway. EPRI's updated evaluation ""Review of 1.5°C and Other Newer Global Emissions Scenarios"" provides additional insights when considering how to attain a net-zero goal. This includes finding that significant additional electrification and continued fossil energy use could be consistent with limiting warming to 2°C and even 1.5? by 2050. Alliant Energy believes that our aspirational net-zero CO2 goal is within the range of plausible scenarios shown in EPRI's technical study to limit global warming.  Reference: https://www.epri.com/research/products/000000003002018053",0,42,2020,Revised,30,absolute,,0
586,011554,ALLIANT ENERGY CORP,2019,Abs 1,Scope 1,97,40,2005,21597163,2030,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Alliant Energy's plans for a clean energy future are expected to exceed the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord. U.S. Paris Accord Goal: Reduce greenhouse gases 26-28% below 2005 levels by 2025Alliant Energy is participating in an Electric Power Research Institute technical study assessing the state of the science for evaluating a company-specific climate policy scenario analysis or greenhouse gas goal. Key insights from the published study found that there is significant uncertainty between a global temperature goal and an individual company's emission pathway. More robust methodologies are needed to support company-specific evaluations that consider uncertainties, including attainability of very low global emissions pathways, specific policy design features, non-climate-policy drivers and company-specific circumstances. The Phase I study ""Grounding Decisions: A Scientific Foundation for Companies Considering Global Climate Scenarios and Greenhouse Gas Goals"" is available to the public free of charge at the following link: https://www.epri.com/#/pages/product/000000003002014510/?lang=en-US",0,19,2018,Underway,12,absolute,,0
586,011554,ALLIANT ENERGY CORP,2022,Abs 2,Scope 1,100,100,2005,21597490,2050,"No, but we are reporting another target that is science-based","Alliant Energy strives to accelerate emissions reductions as part of its science-based Clean Energy Vision goals (below). In 2021, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 28% from 2005 levels.  Alliant Energy has published a Climate Report that is organized using the Task Force on Climate-related Financial Disclosures (TCFD) framework. This report shares outcomes from a climate study completed by the Electric Power Research Institute (EPRI) that included transition scenario analysis and a review of physical climate risk. The EPRI climate study results support the conclusion that Alliant Energy's strategies and Clean Energy Vision CO2 emission reduction goals are consistent with the Paris Agreement's objective to limit global average temperature rise to well below 2 °C above pre-industrial levels and to pursue efforts to limit global average temperature increase even further to 1.5°C . Figure A-1 from our Climate Report maps Alliant Energy's Clean Energy Vision CO2 emission reduction goals that were developed from our Clean Energy Blueprint plans across the range of potential scenarios for limiting global temperature warming developed by the Intergovernmental Panel on Climate Change (IPCC) and International Energy Agency (IEA). The trajectory of Alliant Energy's strategy falls within the international pathways outlined for limiting global temperature to 1.5°C and 2°C . The results from the scenario analysis will be used to inform our ongoing review of our Clean Energy Blueprint plans and progress in achieving our Clean Energy Vision CO2 emissions reduction goals. The full report is available at: http://alliantenergy.com/climatereportOur Clean Energy Vision Goals:Successful execution of our strategy will enable us to achieve our clean energy initiatives.By 2030:• Reduce our fossil fuel generation carbon dioxide (CO2) emissions by 50% from 2005 levels• Reduce our electric utility water supply by 75% from 2005 levels• Electrify 100% of our company-owned light-duty fleet vehiclesBy 2040:• Eliminate all coal from our generation fleetBy 2050:• Aspire to achieve net-zero CO2 emissions from the electricity we generateWe will continue to review and update our Sustainable Energy Plan and Clean Energy Vision, based on future economic developments, evolving energy technologies and emerging trends in the communities we serve.",3,28,2020,Underway,30,absolute,,0
586,011554,ALLIANT ENERGY CORP,2020,Abs 2,Scope 1,97,80,2005,21597490,2050,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Alliant Energy strives to accelerate emissions reductions as part of its Clean Energy Vision to implement a strategy to affordably meet the energy needs of customers and recognize the importance of using resources in efficient and environmentally responsible ways. In addition, focusing on clean energy will help make our communities more competitive for economic development.  In 2019, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 35% from 2005 levels.  In addition, we also recently achieved one of our goals – to have 30% of our energy mix come from carbon-free renewable resources – 10 years ahead of schedule.  In 2020, our Clean Energy Vision goals were updated given the significant progress achieved adding new company-owned wind generation (1,150 MW) and plans to implement solar generation (1,000 MW). The updates include:- Achieving a 50% reduction in CO2 emissions by 2030 (up from our prior goal of 40%)- Eliminating all coal from our generation fleet by 2040 (10 years faster than our previous target) - Adding an aspirational goal that achieves net-zero CO2 emissions from the electricity we generate by 2050Alliant Energy's plans for a clean energy future are expected to be consistent with the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord.  Our company is participating in an Electric Power Research Institute (EPRI) technical study assessing the relationship between company-specific carbon transition scenarios and scientific research on the projected emission reductions derived from global climate warming models. Key insights from the published study found that there is significant uncertainty between modeled predictions for achieving a global temperature goal and an individual company's emission pathway. EPRI's updated evaluation ""Review of 1.5°C and Other Newer Global Emissions Scenarios"" provides additional insights when considering how to attain a net-zero goal. This includes finding that significant additional electrification and continued fossil energy use could be consistent with limiting warming to 2°C and even 1.5? by 2050. Alliant Energy believes that our aspirational goal to reach net-zero CO2 emissions by 2050 for the electricity we generate is within the range of plausible scenarios shown in the EPRI technical study to limit global warming.",3,43,2018,Underway,32,absolute,,0
586,011554,ALLIANT ENERGY CORP,2021,Abs 1,Scope 1,100,50,2005,21597490,2030,"Yes, we consider this a science-based target, but it has not been approved by the Science-Based Targets initiative","Alliant Energy strives to accelerate emissions reductions as part of its Clean Energy Vision.  In 2020, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 42% from 2005 levels.  We also recently achieved one of our goals – to have 30% of our energy mix come from carbon-free renewable resources – 10 years ahead of schedule. In 2020, our Clean Energy Vision goals were updated given the significant progress achieved adding new company-owned wind generation (1,150 MW) and plans to implement solar generation (1,500 MW). The updated goals are:- Achieving a 50% reduction in CO2 emissions by 2030 (up from our prior goal of 40%)- Eliminating all coal from our generation fleet by 2040 (10 years faster than our previous target) - Adding an aspirational goal that achieves net-zero CO2 emissions from the electricity we generate by 2050- Adding a new goal that 100% of our active company-owned light-duty fleet vehicles will be electric by 2030Furthermore, Alliant Energy added another new goal in 2021, an initiative to donate and help plant more than one million trees – one tree for each of our customers – over the next decade.Alliant Energy's plans for a clean energy future are expected to be consistent with the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord.  Our company is participating in an Electric Power Research Institute (EPRI) technical study assessing the relationship between company-specific carbon transition scenarios and scientific research on the projected emission reductions derived from global climate warming models. Key insights from the published study found that there is significant uncertainty between modeled predictions for achieving a global temperature goal and an individual company's emission pathway. EPRI's updated evaluation ""Review of 1.5°C and Other Newer Global Emissions Scenarios"" provides additional insights when considering how to attain a net-zero goal. This includes finding that significant additional electrification and continued fossil energy use could be consistent with limiting warming to 2°C and even 1.5? by 2050. Alliant Energy believes that our aspirational net-zero CO2 goal is within the range of plausible scenarios shown in EPRI's technical study to limit global warming.  Reference: https://www.epri.com/research/products/000000003002018053",0,84,2020,Revised,10,absolute,,0
586,011554,ALLIANT ENERGY CORP,2020,Abs 1,Scope 1,97,40,2005,21597490,2030,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Alliant Energy strives to accelerate emissions reductions as part of its Clean Energy Vision to implement a strategy to affordably meet the energy needs of customers and recognize the importance of using resources in efficient and environmentally responsible ways. In addition, focusing on clean energy will help make our communities more competitive for economic development.  In 2019, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 35% from 2005 levels.  In addition, we also recently achieved one of our goals – to have 30% of our energy mix come from carbon-free renewable resources – 10 years ahead of schedule.  In 2020, our Clean Energy Vision goals were updated given the significant progress achieved adding new company-owned wind generation (1,150 MW) and plans to implement solar generation (1,000 MW). The updates include:- Achieving a 50% reduction in CO2 emissions by 2030 (up from our prior goal of 40%)- Eliminating all coal from our generation fleet by 2040 (10 years faster than our previous target) - Adding an aspirational goal that achieves net-zero CO2 emissions from the electricity we generate by 2050Alliant Energy's plans for a clean energy future are expected to be consistent with the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord.  Our company is participating in an Electric Power Research Institute (EPRI) technical study assessing the relationship between company-specific carbon transition scenarios and scientific research on the projected emission reductions derived from global climate warming models. Key insights from the published study found that there is significant uncertainty between modeled predictions for achieving a global temperature goal and an individual company's emission pathway. EPRI's updated evaluation ""Review of 1.5°C and Other Newer Global Emissions Scenarios"" provides additional insights when considering how to attain a net-zero goal. This includes finding that significant additional electrification and continued fossil energy use could be consistent with limiting warming to 2°C and even 1.5? by 2050. Alliant Energy believes that our aspirational goal to reach net-zero CO2 emissions by 2050 for the electricity we generate is within the range of plausible scenarios shown in the EPRI technical study to limit global warming.",8,86,2018,Underway,12,absolute,,0
586,011554,ALLIANT ENERGY CORP,2021,Abs 2,Scope 1,100,80,2005,21597490,2040,"Yes, we consider this a science-based target, but it has not been approved by the Science-Based Targets initiative","Alliant Energy strives to accelerate emissions reductions as part of its Clean Energy Vision.  In 2020, our fossil-fuel generation carbon dioxide (CO2) emissions decreased 42% from 2005 levels.  We also recently achieved one of our goals – to have 30% of our energy mix come from carbon-free renewable resources – 10 years ahead of schedule. In 2020, our Clean Energy Vision goals were updated given the significant progress achieved adding new company-owned wind generation (1,150 MW) and plans to implement solar generation (1,500 MW). The updated goals are:- Achieving a 50% reduction in CO2 emissions by 2030 (up from our prior goal of 40%)- Eliminating all coal from our generation fleet by 2040 (10 years faster than our previous target) - Adding an aspirational goal that achieves net-zero CO2 emissions from the electricity we generate by 2050- Adding a new goal that 100% of our active company-owned light-duty fleet vehicles will be electric by 2030Furthermore, Alliant Energy added another new goal in 2021, an initiative to donate and help plant more than one million trees – one tree for each of our customers – over the next decade.Alliant Energy's plans for a clean energy future are expected to be consistent with the carbon reductions and climate goals pledged originally by the U.S. under the voluntary United Nations Paris Accord.  Our company is participating in an Electric Power Research Institute (EPRI) technical study assessing the relationship between company-specific carbon transition scenarios and scientific research on the projected emission reductions derived from global climate warming models. Key insights from the published study found that there is significant uncertainty between modeled predictions for achieving a global temperature goal and an individual company's emission pathway. EPRI's updated evaluation ""Review of 1.5°C and Other Newer Global Emissions Scenarios"" provides additional insights when considering how to attain a net-zero goal. This includes finding that significant additional electrification and continued fossil energy use could be consistent with limiting warming to 2°C and even 1.5? by 2050. Alliant Energy believes that our aspirational net-zero CO2 goal is within the range of plausible scenarios shown in EPRI's technical study to limit global warming.  Reference: https://www.epri.com/research/products/000000003002018053",0,53,2020,Revised,20,absolute,,0
586,011554,ALLIANT ENERGY CORP,2012,,,,,,,,,,,,,,,intensity,,0
586,011554,ALLIANT ENERGY CORP,2011,CCX,Scope 1,,6,,,2010,,Member of Chicago Climate Exchange (CCX). Baseline determined from 1998-2001 period.,100,100,,,,absolute,,0
661,010860,AMEREN CORP,2013,T1,Scope 1,0,0,2011,65762914,2012,,"Ameren Missouri Energy Efficiency Electric Programs (01/02/2012-09/30/2012)  Savings Target:  30 GWh  (approximately 22,900 metric tons of CO2)",100,95,,,,absolute,,0
661,010860,AMEREN CORP,2012,T3,Scope 1,1,1,2010,66427186,2011,,"Ameren Illinois Energy Efficiency Electric Programs 
(6/1/2010-5/31/2011)

Savings Target: 
467 GWh  (approximately 350,000 metric tons of CO2)",100,100,,,,absolute,,0
661,010860,AMEREN CORP,2015,Abs2,Scope 1,100,1,2013,30214592,2014,,"Ameren Illinois Energy Efficiency Electric Programs (Planning Year 6:  06/01/2013-05/31/2014)  Savings Target:  282,583 MWh (approximately 272,000 metric tons of CO2, assuming CO2 emission factor of 0.89 metric ton/MWh and adjusting for line losses)",100,100,,,,absolute,,0
661,010860,AMEREN CORP,2019,Abs 4,Scope 1,100,35,2005,35754207,2030,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Ameren Missouri 2017 Integrated Resource Plan (IRP).   The 2017 IRP is designed to ensure that customers' long-term electric energy needs are met in a reliable, cost-effective and environmentally responsible manner.  Ameren's preferred plan focuses on transitioning the generation fleet to a cleaner and more fuel diverse energy portfolio in a responsible manner and includes:  the addition of at least 700 MW of wind generation by 2020 (representing and investment of approximately $1.0 billion); the addition of 100 MW of solar generation by 2027; a 160% increase in renewable generation capability over current levels; the planned retirement of more than half of Ameren Missouri's coal-fired generation capacity; continuation of cost-effective customer energy-efficiency programs; and continued development of smart grid, communications and other advanced technologies. Ameren expects the percent of its rate base represented by fossil fuel-fired generation investments to decline in the years ahead as it focuses on increased grid and renewable generation investment. In addition, Ameren Missouri has a goal to reduce CO2 emissions 35% by 2030, 50% by 2040, and 80% by 2050 compared to 2005 levels. The 2005 base year reported is CO2 not CO2e.The target is underway.",0,,2018,Underway,12,absolute,,0
661,010860,AMEREN CORP,2020,Abs 2,Scope 1,1,0,2018,29587976,2019,"No, and we do not anticipate setting one in the next 2 years","Ameren Illinois Energy Efficiency Electric Programs (Planning Year: 01/01/2019-12/31/2019)2019 Savings Target:  356 GWh (approximately 287,000 metric tons of CO2, assuming CO2 emission factor of 0.75 metric ton/MWh and adjusting for line losses).  2019 Savings Actual: 344 GWh  (approximately 277,400 metric tons of CO2, assuming CO2 emission factor of 0.75 metric ton/MWh and adjusting for line losses)Completed 2019 savings target by approximately 97%.Targeted reduction is approximately 1% of Scope 1 emissions.",100,,2018,Achieved,1,absolute,,0
661,010860,AMEREN CORP,2016,Abs6,Scope 1,100,15,2013,30214592,2034,"No, and we do not anticipate setting one in the next 2 years","Ameren Missouri Generation:  Planned Retirements
The 2014 IRP includes plans to retire approximately one-third (about 1,800 MW) of Ameren Missouri’s current coal-fired generating capacity by 2034.  This includes operating two units at Meramec Energy Center only on natural gas beginning in 2016, and retiring all remaining units at the Meramec Energy Center by the end of 2022 and the Sioux Energy Center by the end of 2033.",0,0,,,,absolute,,0
661,010860,AMEREN CORP,2015,Abs1,Scope 1,100,1,2013,30214592,2014,,"Ameren Missouri Energy Efficiency Electric Programs (01/01/2014-12/31/2014)  Savings Target:  263GWh  (approximately 253,000 metric tons of CO2, assuming CO2 emission factor of 0.89 metric ton/MWh and adjusting for line losses)",100,100,,,,absolute,,0
661,010860,AMEREN CORP,2015,Abs3,Scope 1,100,0,2013,30214592,2014,,"Ameren Illinois Energy Efficiency Natural Gas Programs (Planning Year 6:  06/01/2013-05/31/2014)  Savings Target:  5,644,338 therms (approximately 29,963 metric tons of CO2)",100,100,,,,absolute,,0
661,010860,AMEREN CORP,2020,Abs 5,Scope 1,100,50,2005,35754207,2040,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Ameren Missouri 2017 Integrated Resource Plan (IRP) is designed to ensure that customers' long-term electric energy needs are met in a reliable, cost-effective and environmentally responsible manner.  Ameren's preferred plan focuses on transitioning the generation fleet to a cleaner and more fuel diverse energy portfolio in a responsible manner and includes:  the addition of at least 700 MW of wind generation (representing and investment of approximately $1.2 billion)--- we expect a 400 MW wind project and the majority of a 300 MW wind facility to be placed in-service by the end of 2020. We expect a portion of the 300 MW wind project will be placed in-service in the first quarter of 2021.  The plan also includes the addition of 100 MW of solar generation by 2027;  the planned retirement of more than half of Ameren Missouri's coal-fired generation capacity; continuation of cost-effective customer energy-efficiency programs; and continued development of smart grid, communications and other advanced technologies. Ameren expects the percent of its rate base represented by fossil fuel-fired generation investments to decline in the years ahead as it focuses on increased grid and renewable generation investment. In addition, Ameren Missouri has a goal to reduce CO2 emissions 35% by 2030, 50% by 2040, and 80% by 2050 compared to 2005 levels. The 2005 base year reported is CO2 not CO2e.The target is underway.",5,66,2018,Underway,22,absolute,,0
661,010860,AMEREN CORP,2019,Abs 5,Scope 1,100,50,2005,35754207,2040,"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative","Ameren Missouri 2017 Integrated Resource Plan (IRP).   The 2017 IRP is designed to ensure that customers' long-term electric energy needs are met in a reliable, cost-effective and environmentally responsible manner.  Ameren's preferred plan focuses on transitioning the generation fleet to a cleaner and more fuel diverse energy portfolio in a responsible manner and includes:  the addition of at least 700 MW of wind generation by 2020 (representing and investment of approximately $1.0 billion); the addition of 100 MW of solar generation by 2027; a 160% increase in renewable generation capability over current levels; the planned retirement of more than half of Ameren Missouri's coal-fired generation capacity; continuation of cost-effective customer energy-efficiency programs; and continued development of smart grid, communications and other advanced technologies. Ameren expects the percent of its rate base represented by fossil fuel-fired generation investments to decline in the years ahead as it focuses on increased grid and renewable generation investment. In addition, Ameren Missouri has a goal to reduce CO2 emissions 35% by 2030, 50% by 2040, and 80% by 2050 compared to 2005 levels. The 2005 base year reported is CO2 not CO2e.The target is underway.",0,,2018,Underway,22,absolute,,0
661,010860,AMEREN CORP,2017,Abs6,Scope 1,100,12,2013,30214592,2034,"No, and we do not anticipate setting one in the next 2 years","Ameren Missouri Generation:  Planned RetirementsThe 2014 IRP includes plans to retire approximately one-third (about 1,800 MW) of Ameren Missouri’s current coal-fired generating capacity by 2034.  This includes operating two units at Meramec Energy Center only on natural gas beginning in 2016, and retiring all remaining units at the Meramec Energy Center by the end of 2022 and the Sioux Energy Center by the end of 2033.  Operating two Meramec energy center units on natural gas rather than coal resulted in an approximate reduction in CO2 emissions of over 450,000 metric tons from 2015 to 2016.",10,12,,,,absolute,,0
661,010860,AMEREN CORP,2013,T3,Scope 1,0,0,2011,65762914,2013,,"Ameren Illinois Energy Efficiency Electric Programs (06/01/2012 - 05/31/2013) Savings Target: 246 GWh (approximately 173,565 metric tons of CO2)",84,100,,,,absolute,,0
